timestamp,severity,root_cause,incident_risk,related_log_count,sample_related_logs
2026-01-01 00:28:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-02 09:06:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 09:31:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 09:35:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 09:53:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 10:53:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 11:04:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 11:16:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 11:21:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 11:41:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-02 11:52:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 11:55:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 13:32:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 14:09:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 14:22:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 14:46:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-02 15:22:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 15:25:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-02 16:07:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 17:24:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-02 18:06:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-02 20:30:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 21:17:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-02 21:20:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-02 22:13:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-02 23:12:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 00:23:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 02:20:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 07:26:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-03 07:27:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 07:47:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 08:12:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 09:08:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 09:28:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 10:41:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 12:00:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 12:32:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 13:46:00,CRITICAL,High Memory Usage / Possible Memory Leak,HIGH,71,WARNING High memory usage detected | WARNING High memory usage detected | WARNING High memory usage detected
2026-01-03 14:55:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 15:31:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 17:18:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 17:31:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-03 18:27:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 19:14:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 20:33:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-03 21:21:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 02:09:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 02:12:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 05:34:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-04 05:50:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 06:14:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 06:23:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 07:19:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 09:43:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
2026-01-04 09:51:00,CRITICAL,High CPU Usage / Compute Resource Overload,HIGH,60,WARNING High CPU usage detected | WARNING High CPU usage detected | WARNING High CPU usage detected
2026-01-04 10:49:00,CRITICAL,High API Latency / Database Performance Issue,HIGH,402,ERROR Database connection timeout | WARNING API response slow | ERROR API request timeout
